user_id,item_id,progress,start_date
119829,192398,100,2018-07-18
126551,267386,64,2019-02-02
3634,165549,4,2018-10-10
94766,301419,12,2019-10-05
86535,87171,75,2018-03-06
104420,128919,18,2018-05-12
62992,90511,18,2018-01-26
150394,256602,92,2019-07-27
13340,22675,100,2019-11-11
69204,98615,72,2018-12-03
103528,218177,0,2018-07-27
53058,287247,2,2018-11-26
3013,257226,43,2019-07-09
132583,313249,3,2019-10-04
127694,162341,97,2019-02-15
101382,4156,100,2018-09-01
39443,304805,74,2018-12-25
10626,149796,88,2018-04-30
9096,219278,7,2018-02-05
108109,110503,1,2018-10-13
143696,99357,3,2019-01-08
92724,46733,40,2019-05-30
41483,271631,93,2019-12-20
523,133129,100,2018-10-18
54907,215089,98,2018-01-07
72641,194571,100,2019-04-19
111267,232825,67,2018-04-05
21915,102674,36,2018-11-24
135167,158612,0,2018-12-17
145148,9790,21,2018-03-02
67840,58284,33,2019-01-13
67920,234202,100,2019-03-05
32137,292335,20,2018-04-29
128164,161482,1,2019-06-27
140515,147637,9,2018-01-19
131497,140917,86,2018-02-03
35986,72430,61,2019-06-05
48042,102185,24,2018-02-17
78620,100698,100,2018-11-05
98118,178184,75,2018-04-15
123112,8045,61,2019-07-25
10183,47949,100,2018-02-22
83852,92103,27,2018-12-18
84677,191440,40,2019-04-11
85411,272494,5,2019-04-14
69645,251342,3,2018-03-27
26952,293436,35,2019-02-16
5185,155444,82,2019-10-26
111842,85093,5,2019-01-15
4279,47854,100,2018-09-30
1429,105662,0,2018-10-04
65668,38745,3,2018-12-02
65706,4281,3,2019-12-21
139171,217235,0,2019-04-16
100226,188481,54,2019-06-02
25132,36191,96,2019-06-15
119417,231960,13,2019-06-13
20325,46498,8,2018-03-22
90449,159439,0,2018-06-28
33057,80333,100,2018-01-27
112898,154805,0,2019-01-24
122475,207816,0,2019-02-14
31492,236533,0,2019-08-10
97206,308542,34,2018-07-13
32352,304593,45,2018-06-12
90391,198261,0,2019-02-05
128315,71374,1,2019-08-20
82176,282271,30,2019-10-18
143630,89298,32,2019-04-11
119383,20235,7,2019-08-17
50038,58962,99,2019-03-29
104972,125204,100,2018-04-20
130530,287538,100,2018-12-18
132144,303208,0,2019-12-12
111995,232232,100,2018-06-02
77842,234604,71,2019-01-18
59694,229695,99,2019-08-03
47708,45648,100,2019-04-03
12373,57786,60,2018-05-06
71584,207331,0,2019-05-31
99260,202588,100,2019-01-13
150282,59637,70,2019-08-10
41627,74075,100,2019-11-29
138121,59795,98,2019-08-26
24133,300889,0,2019-12-15
117256,172273,0,2019-09-06
142501,45650,52,2018-10-28
119182,313137,100,2019-04-10
15202,67871,11,2019-05-03
60591,260055,34,2019-02-09
44024,265919,31,2019-01-26
94218,99357,7,2018-10-17
55750,133719,47,2019-05-08
136763,97495,90,2019-02-24
34390,291366,80,2019-05-17
115979,246649,39,2019-03-05
85343,29955,19,2019-01-04
123252,250407,100,2018-12-28
11766,284642,0,2018-11-17
29237,282729,100,2018-02-22
74610,93249,27,2018-07-24
121948,14079,81,2019-08-14
67446,94316,1,2018-05-31
82964,38167,3,2019-08-27
85810,103157,55,2018-05-10
134952,222040,99,2019-08-10
26451,132986,18,2018-07-30
46255,273463,100,2019-10-08
130311,61170,96,2019-08-17
149346,96970,0,2018-01-09
18109,306044,86,2018-12-06
17619,19289,100,2019-03-03
134694,161800,5,2018-08-09
58936,126875,1,2018-12-02
87746,183232,99,2019-11-12
129945,173758,2,2018-07-17
14953,285517,0,2019-09-30
137853,179918,94,2019-03-05
147261,244409,87,2018-07-26
104868,263245,17,2018-11-17
137322,208487,61,2018-04-19
32988,230592,100,2018-08-28
57547,152118,92,2019-12-19
59711,182693,45,2019-10-26
33560,285816,43,2018-01-06
147938,317484,89,2018-09-10
101837,225908,100,2018-11-02
109614,256193,43,2019-05-30
128240,116775,100,2018-08-08
131092,306184,29,2019-04-01
122239,229474,3,2019-04-08
106418,252064,34,2018-11-17
30124,109201,11,2019-11-13
81058,217859,27,2018-07-13
22856,115551,100,2019-05-11
116226,238245,100,2018-01-25
41921,179750,89,2019-07-12
115156,235134,4,2019-05-31
7438,268121,0,2019-01-13
120842,319390,4,2018-08-05
70467,66165,0,2018-08-15
47336,240764,4,2019-05-31
106339,171890,34,2018-01-13
12560,122087,0,2019-04-09
158806,214063,21,2019-06-14
120866,144939,0,2019-02-12
96101,280398,15,2018-03-14
151113,27814,100,2018-04-08
339,170953,72,2019-10-06
16730,19475,48,2019-11-05
22285,35265,26,2018-01-21
156772,298473,0,2018-09-11
111244,308150,48,2019-04-18
60609,88404,100,2019-03-23
39753,27921,30,2019-05-20
136612,316995,32,2019-06-15
117578,306184,29,2019-04-17
60524,299274,99,2018-02-04
88809,134074,82,2018-05-22
125939,28889,11,2019-06-22
81816,297321,100,2018-10-17
1781,300766,95,2018-06-25
129714,167186,4,2019-01-27
143845,268039,100,2019-01-12
96898,125578,14,2019-08-18
22159,228692,67,2018-11-01
143562,77993,0,2019-01-18
21271,15649,7,2019-11-05
42598,81980,2,2019-10-17
31292,153051,100,2019-05-12
44470,286921,9,2019-06-15
43628,231035,23,2019-04-22
148343,43627,100,2019-01-25
59094,227388,85,2018-03-05
95751,207894,21,2018-07-03
133371,21194,0,2019-09-18
154575,14672,90,2019-11-01
54555,132760,100,2019-12-12
147623,184029,85,2018-01-02
105492,245522,100,2019-02-02
14381,320969,10,2018-03-13
83609,226589,78,2018-01-02
134549,38856,14,2019-01-04
152078,32026,66,2018-01-20
159268,197068,66,2018-06-02
26391,263499,89,2018-06-17
114781,298835,2,2018-04-11
100785,58639,100,2019-05-18
74804,73415,0,2018-11-10
106256,114122,86,2019-06-15
70253,133452,20,2019-08-03
56719,112751,0,2019-12-05
92766,213101,67,2019-05-01
31816,201173,3,2019-11-16
145049,23328,83,2019-11-15
102238,264997,0,2019-03-10
128466,204248,36,2018-10-03
98045,92041,13,2018-05-21
56592,28031,5,2018-11-27
58817,176898,0,2019-04-05
40708,281005,33,2018-01-01
119392,145258,100,2018-11-19
150282,177216,100,2018-12-31
109512,83464,43,2018-10-12
107413,124959,14,2018-06-25
41297,53195,0,2019-02-20
54888,320090,68,2019-09-19
66534,252131,100,2019-06-05
57921,114931,36,2018-09-06
58868,294599,77,2018-04-07
78569,249594,95,2019-03-30
82017,122971,88,2019-04-21
128995,125884,91,2019-10-16
133649,127933,92,2019-12-08
30847,106900,100,2019-01-10
15408,174843,30,2019-12-28
54275,119534,8,2019-07-22
123170,90519,0,2018-07-27
45560,176589,4,2019-05-14
44414,143660,25,2019-05-17
146005,276812,56,2018-10-09
42554,216828,19,2019-03-08
81274,165576,100,2019-08-27
132108,204930,99,2019-11-22
55058,96466,0,2019-05-18
150718,55640,40,2018-11-01
37812,196553,79,2018-10-27
137786,166850,32,2019-10-14
79609,124019,100,2019-04-04
28510,149296,42,2018-02-02
20380,144251,32,2018-02-11
27862,105023,34,2019-10-30
77848,261936,100,2019-05-03
94645,99357,25,2019-01-19
5356,29904,66,2018-11-04
35985,81812,0,2019-07-30
6476,212296,93,2018-02-10
95143,265904,57,2019-06-12
117192,28281,0,2019-07-19
35267,115114,22,2018-10-12
86014,141075,62,2018-03-09
69503,228005,72,2018-06-14
102944,315039,2,2019-06-09
6619,211526,99,2019-11-19
143960,151190,0,2019-12-16
138232,206169,16,2018-12-18
15721,27148,67,2018-01-02
47216,97320,76,2019-12-01
148383,130611,0,2018-09-14
130251,56798,57,2018-02-20
58352,300111,77,2019-06-06
108674,49342,100,2018-08-26
117537,117632,100,2019-03-05
86852,153477,100,2019-06-04
119776,55608,3,2019-07-03
91442,16482,100,2018-01-05
86747,47833,0,2018-12-03
33188,109834,100,2018-10-16
62719,41930,57,2019-11-16
314,289029,37,2018-11-21
120742,96767,20,2018-12-26
24830,237370,55,2019-07-03
17812,310952,8,2018-08-24
112051,208310,100,2018-11-19
62684,176265,100,2018-01-31
71319,301475,46,2019-12-22
123262,60625,41,2018-07-13
139514,243022,34,2019-02-13
36023,179540,1,2018-11-15
142256,255943,4,2019-06-07
76297,246383,25,2018-05-28
10183,133829,100,2019-06-10
125989,224851,1,2018-12-20
87463,27063,94,2018-08-17
117400,240949,7,2019-06-06
87725,240665,100,2018-01-24
96026,299388,8,2018-05-24
98405,145155,34,2019-01-31
149865,155107,40,2018-03-30
19664,292692,12,2019-10-17
93174,285394,6,2019-12-09
21778,119138,46,2018-01-19
82067,40352,53,2019-05-09
128896,160393,15,2019-03-31
74921,90226,26,2019-02-10
36387,106537,100,2018-06-14
10304,270152,0,2018-10-10
158294,197115,48,2018-10-23
128023,242342,72,2019-01-25
31751,125138,2,2018-12-26
145451,238127,1,2019-09-01
40878,306535,31,2018-12-16
6922,56542,9,2018-06-21
151406,135032,20,2019-10-21
73497,147736,100,2018-07-19
72334,303990,99,2019-11-18
136833,165713,53,2019-04-07
157636,217527,91,2018-03-07
75337,70002,68,2018-03-29
71304,21936,0,2018-10-02
150998,243725,1,2018-05-08
102312,175202,94,2019-04-01
43322,195645,100,2019-07-25
83036,32603,91,2018-10-02
64130,517,93,2018-02-01
91540,82559,99,2018-03-15
150075,127667,9,2018-08-25
144369,290270,100,2019-06-04
117685,210185,99,2019-07-06
151455,69273,100,2019-10-03
92006,19375,100,2019-09-30
41297,136820,0,2019-02-06
141901,74107,100,2019-03-31
75933,318345,100,2019-05-14
93152,311261,10,2018-02-18
33965,9790,5,2018-10-06
69787,196810,27,2018-08-09
82126,14579,43,2019-06-04
81673,312881,100,2018-09-21
118626,198722,94,2018-02-18
49945,143677,64,2018-07-23
91474,123475,2,2019-04-19
56420,202098,86,2019-01-04
141360,121687,0,2019-08-15
28777,71041,65,2018-01-30
98330,167418,54,2018-05-06
50599,240850,28,2018-10-28
80599,106921,96,2018-03-29
157950,225982,0,2018-09-12
54291,217238,49,2019-11-20
54360,280278,18,2019-03-24
118884,293672,100,2019-01-31
104129,78843,0,2019-05-01
11390,184085,0,2018-03-16
157295,72218,100,2019-06-13
23996,128170,97,2019-10-10
153840,46609,28,2018-07-21
133828,269530,88,2019-10-18
97113,197349,20,2018-07-30
36579,216456,94,2018-12-25
7981,44081,100,2018-12-26
17277,34066,99,2019-10-14
523,7959,100,2018-06-17
12447,169878,53,2019-10-10
145195,99357,2,2018-12-10
76456,141528,0,2019-06-18
33188,29091,100,2018-11-24
27746,305466,91,2018-10-17
57515,82852,84,2018-09-20
42303,216556,24,2018-03-31
57686,13953,100,2019-04-06
40951,314951,50,2019-12-17
48571,62121,76,2018-10-21
17728,153051,22,2019-06-15
210,193408,14,2018-07-27
84252,119727,62,2019-05-08
30150,294516,99,2019-08-03
127001,117566,35,2018-12-13
13129,34431,10,2019-07-12
148379,109729,56,2018-08-27
7229,278120,1,2018-08-17
41297,213436,0,2019-02-07
143949,197006,11,2019-12-06
24868,77459,31,2019-09-06
74907,94079,0,2018-01-27
133040,62381,100,2018-07-13
98005,314114,6,2019-04-27
80416,112269,32,2018-10-17
95959,133052,48,2019-05-22
44766,307595,0,2019-10-25
70747,197486,86,2018-07-30
50853,234260,53,2019-09-08
18428,37199,72,2018-05-17
52534,203892,7,2018-05-31
31998,143505,0,2018-07-21
90046,146536,0,2019-01-29
103209,257643,100,2019-02-01
52657,284133,23,2018-02-06
129510,289673,69,2019-06-06
115248,4315,56,2019-03-23
88026,145016,0,2019-09-15
96443,183103,40,2019-08-02
92666,288828,40,2018-06-14
12473,310952,2,2018-08-20
32616,319750,44,2019-12-13
48261,295470,0,2019-09-23
71721,93219,100,2019-01-20
142916,186169,57,2018-06-19
149109,38920,5,2018-03-05
120931,306076,0,2019-04-13
143451,96144,1,2019-09-28
37091,58803,0,2018-01-07
53227,263059,0,2019-09-22
63085,146951,45,2019-04-18
147747,155069,16,2019-12-19
71565,292629,8,2019-03-03
8077,188209,16,2019-10-25
90707,244836,100,2018-04-02
33439,66458,69,2018-04-02
87133,108546,100,2019-01-15
123252,196634,100,2018-12-23
13972,241026,0,2019-04-01
91675,87203,68,2018-05-10
66260,203185,29,2018-03-14
156866,49140,15,2018-02-01
75258,131771,3,2018-09-12
119517,141164,95,2018-04-28
108235,258240,44,2019-10-22
110629,158276,100,2019-11-08
117845,125987,53,2018-01-10
106904,109605,99,2019-07-23
34498,216864,39,2019-07-20
138456,305006,72,2018-07-20
18741,65497,34,2019-07-27
95731,119502,91,2018-02-15
74237,6943,100,2019-08-22
50197,184890,100,2018-03-24
106460,99357,2,2018-08-28
147215,91856,100,2019-02-19
63542,157990,11,2019-07-22
1135,210720,46,2019-09-04
140525,167962,10,2019-05-16
52502,273762,0,2019-01-01
136747,317432,43,2019-04-07
84914,8380,0,2019-08-10
48164,105654,95,2018-02-07
31856,105099,26,2019-12-11
17619,250970,99,2019-08-25
40507,15283,99,2018-10-11
57582,190485,0,2018-04-08
104231,170617,39,2018-06-03
105145,296892,21,2018-08-14
80638,137288,94,2019-10-06
124217,272588,0,2018-10-08
115082,65319,3,2018-08-15
48553,46972,17,2018-01-11
120178,248103,20,2018-05-04
26462,198072,53,2018-06-08
21,72618,100,2019-03-30
106553,82119,15,2018-06-15
124119,271563,20,2019-11-16
13475,56444,0,2018-04-15
2753,282338,18,2018-04-06
1667,304732,0,2018-06-15
15737,92896,93,2019-08-15
90422,21680,47,2018-01-31
92978,60193,0,2018-10-26
150297,169853,0,2018-09-27
20897,300737,34,2019-08-02
19288,100497,47,2018-01-10
22133,281382,12,2019-01-27
16983,245510,100,2019-01-20
121323,133445,35,2019-05-24
130806,288083,59,2018-04-06
140112,155451,4,2018-10-13
149193,70926,100,2018-11-03
118697,257732,16,2018-05-18
56546,170735,0,2018-01-12
43014,164332,1,2019-03-01
58423,303205,37,2019-08-25
132780,177472,19,2019-11-08
92436,296634,1,2019-01-03
47972,285440,89,2019-01-21
52342,241456,2,2018-05-02
5372,239996,62,2018-12-27
60932,293594,0,2018-10-09
9050,285462,0,2018-10-04
89445,113070,15,2018-12-28
36094,254214,62,2018-04-16
144673,312325,0,2019-01-27
112301,204124,81,2018-03-17
154865,57308,100,2018-12-15
75550,141989,25,2019-04-12
4819,310331,48,2018-03-31
114327,227402,26,2018-07-29
132334,284240,40,2019-06-08
6517,166214,100,2019-04-12
113877,231625,52,2019-08-05
145028,172269,0,2019-02-02
33536,188024,93,2019-11-14
125168,314518,83,2019-10-07
119267,244002,99,2019-08-31
73500,249601,66,2019-11-02
70664,10535,28,2019-11-04
15205,63990,3,2018-01-11
89160,283743,62,2019-02-28
106050,145404,51,2018-09-06
87932,306629,79,2018-04-07
158771,87688,28,2019-03-07
130800,265969,90,2019-07-02
69647,213307,0,2019-05-31
45122,95003,0,2018-01-20
62719,26813,0,2019-11-19
139186,36760,86,2019-07-30
91128,210846,37,2019-05-06
136955,166070,24,2018-01-31
44180,103991,12,2019-05-26
40975,85429,10,2019-12-17
93618,126408,20,2018-02-25
131792,53743,5,2018-11-10
1526,139168,93,2019-10-21
2300,213805,5,2019-08-20
37335,156180,68,2018-02-21
117036,225122,0,2019-07-21
153558,290255,66,2018-11-28
14805,146476,27,2019-12-04
156415,137648,3,2019-05-10
12209,202584,100,2019-06-03
153779,59135,16,2018-06-03
44261,153523,100,2018-08-02
126141,186425,72,2019-10-24
49323,235337,98,2019-06-23
62833,8380,0,2019-06-05
113605,318600,100,2018-03-30
54494,261484,100,2019-07-19
134832,55779,3,2019-07-19
6501,307976,100,2018-11-23
93470,244210,6,2019-03-25
20495,61105,16,2019-06-21
155584,277304,69,2018-05-06
106796,193072,0,2018-05-10
75596,233994,0,2019-05-13
146770,40470,18,2019-06-10
137548,144344,10,2018-11-17
78153,266167,40,2018-06-08
90927,35097,52,2019-09-04
41584,289228,20,2019-04-12
123552,287047,96,2018-04-28
111119,47165,18,2018-01-26
19870,25323,55,2019-07-23
122420,74851,1,2018-05-18
58741,317505,42,2019-05-16
110145,39878,100,2019-05-18
58440,254650,57,2018-07-31
65783,58534,99,2019-08-31
150282,308446,100,2018-11-18
122471,116148,69,2019-03-18
139849,136034,100,2018-10-30
122292,274355,22,2019-03-18
2022,215664,94,2018-01-13
120114,58492,98,2019-07-07
143634,230977,89,2019-05-30
82462,187179,62,2019-10-01
81476,244439,100,2018-08-07
84667,75450,100,2018-11-29
87399,262091,38,2019-12-25
19627,90016,2,2018-11-10
124672,67364,91,2018-02-06
79552,54456,58,2019-08-17
67966,258591,42,2019-09-14
69116,252967,3,2018-12-25
25009,74058,39,2019-01-06
111995,40299,100,2019-04-29
82999,13680,100,2018-11-01
70392,303040,59,2019-03-11
32659,224427,1,2019-10-07
89949,202715,0,2018-08-18
140029,200917,48,2019-09-12
87001,314719,42,2019-02-07
36150,178041,55,2018-10-21
128854,236434,43,2018-03-24
119489,103242,2,2018-06-28
68365,12086,100,2018-10-02
11266,155135,0,2019-03-12
22875,165967,5,2019-09-21
94321,284690,14,2019-02-15
130819,166917,99,2019-01-22
79329,30786,99,2018-11-18
55449,291254,45,2018-12-08
27997,204455,100,2018-07-23
12496,250997,0,2019-05-24
156077,99357,100,2018-08-29
15481,242130,57,2019-11-20
101807,302826,30,2018-04-12
38244,26963,100,2018-09-08
107744,305043,0,2019-05-02
39966,86862,94,2018-06-08
66385,214063,0,2019-09-15
26092,155451,0,2019-05-01
141707,78980,96,2018-12-23
77623,39881,0,2018-08-07
19847,99199,1,2018-01-30
127685,234300,7,2019-07-02
137871,24533,0,2019-03-15
152899,16167,0,2018-06-15
46029,227907,90,2018-06-28
33364,310952,12,2018-11-18
12038,66390,84,2019-04-06
93654,90888,100,2019-12-28
3531,298345,55,2019-04-19
66298,178262,100,2019-02-24
103865,319494,2,2019-08-12
128092,94639,12,2019-06-17
17277,164861,12,2018-09-04
121436,295492,100,2018-09-27
34767,100891,0,2018-10-25
87845,219950,26,2018-09-30
18085,109201,4,2019-12-28
36021,218921,76,2018-03-17
115484,266224,8,2018-11-07
68945,9794,100,2018-11-12
33244,69667,100,2019-01-16
357,193945,57,2018-09-13
138956,88397,88,2019-08-24
136701,150708,2,2018-06-17
111468,277756,86,2019-08-22
18919,249897,93,2019-08-11
156012,1087,75,2019-09-27
64193,169449,18,2018-09-21
156874,73911,42,2019-04-16
15431,96152,63,2019-01-14
109419,1540,0,2018-08-27
73191,72528,83,2019-09-24
96983,230296,26,2018-01-23
34483,103426,26,2019-11-15
52924,118777,5,2018-02-06
101765,281599,71,2019-08-08
8360,311608,62,2018-11-23
156079,165787,46,2018-12-15
44250,300699,100,2018-07-28
23001,204704,100,2018-06-19
34839,75289,0,2018-06-07
69002,174737,47,2018-03-23
48873,126875,0,2018-10-23
62725,209866,92,2018-04-16
96082,310858,100,2019-02-25
12932,252852,75,2019-02-22
125413,76158,65,2018-11-12
70117,106512,52,2018-11-26
47977,222348,83,2018-11-15
13513,228006,80,2018-11-19
68511,316776,40,2019-10-29
71405,49543,0,2018-07-18
8269,76904,4,2018-12-12
70774,206741,5,2018-02-18
8759,254770,84,2018-03-30
146466,71805,49,2019-12-22
61748,99096,50,2018-02-21
22537,41422,2,2018-04-20
110192,48803,71,2018-07-08
39018,60506,43,2018-08-25
88740,130501,29,2018-08-31
38834,107522,99,2019-05-14
1931,110547,25,2018-12-02
97924,256279,100,2019-05-21
118944,115838,53,2018-05-28
73784,246196,87,2018-09-25
153633,222062,43,2018-11-17
1348,16943,1,2019-05-27
83302,185832,46,2019-08-12
110440,251539,28,2018-12-31
94063,245384,0,2018-01-01
102823,100719,29,2018-06-25
34826,12289,60,2018-03-13
17266,256741,81,2019-08-15
58868,187328,100,2018-08-26
140192,46038,10,2019-12-15
41689,71153,68,2018-02-25
153738,63106,80,2019-09-07
106060,233439,3,2018-09-04
71009,296009,1,2019-09-01
137136,243803,78,2018-10-10
139385,64133,0,2018-08-10
102701,35851,7,2018-05-03
144380,36447,23,2019-07-15
101622,123252,100,2019-01-18
92969,273175,20,2018-08-08
101833,287247,3,2018-09-15
137963,245214,64,2019-02-26
80581,164861,27,2018-08-03
128733,278509,17,2018-04-16
3819,61345,100,2019-05-03
72926,197296,100,2018-07-15
87453,171172,60,2018-04-10
123785,10228,9,2018-03-18
128094,189950,79,2018-11-30
127273,216356,100,2018-12-16
68687,46327,75,2019-11-16
32257,268138,60,2019-12-17
128375,164462,99,2018-08-31
62742,116897,38,2018-04-05
87994,173611,99,2018-07-15
81300,89153,73,2019-04-27
1359,19404,46,2018-08-14
34956,279696,96,2018-11-01
87646,138918,33,2019-08-03
